"State ID","e(0)","se(e(0))"
01,75.5,0.0328
02,78.8,0.1045
04,79.9,0.0302
05,76,0.0416
06,81.3,0.0125
08,80.5,0.033
09,80.9,0.0372
10,78.7,0.0765
11,78.5,0.102
12,80.1,0.0172
13,77.7,0.0233
15,82,0.067
16,79.4,0.0555
17,79.3,0.0201
18,77.4,0.0277
19,79.6,0.0385
20,78.6,0.0414
21,75.9,0.0335
22,76,0.0343
23,79,0.0598
24,79.6,0.0308
25,80.7,0.0267
26,78.2,0.0227
27,81,0.0302
28,74.9,0.0422
29,77.6,0.029
30,78.6,0.0719
31,79.6,0.0505
32,78.4,0.0446
33,80.1,0.0606
34,80.5,0.0237
35,78.4,0.0543
36,81,0.0164
37,78.1,0.023
38,79.7,0.0861
39,77.6,0.0207
40,75.8,0.0366
41,79.6,0.035
42,78.6,0.0196
44,79.9,0.0675
45,77,0.033
46,79.4,0.0803
47,76.3,0.0278
48,78.8,0.0147
49,79.8,0.0449
50,80,0.0858
51,79.4,0.025
53,80.3,0.027
54,75.3,0.052
55,79.6,0.029
56,78.8,0.0996