rank,state
01,Vermont
02,Massachusetts
03,Maine
04,Wisconsin
05,Minnesota
06,New Hampshire
07,Rhode Island
08,Pennsylvania
09,Connecticut
10,District of Columbia
11,Washington
12,Montana
13,Illinois
14,Maryland
15,New York
16,Kentucky
17,Delaware
18,Iowa
19,Oregon
20,New Mexico
21,Colorado
22,Ohio
23,South Dakota
24,New Jersey
25,Michigan
26,Utah
27,North Dakota
28,Oklahoma
29,West Virginia
30,California
31,Hawaii
32,Indiana
33,Nebraska
34,Alaska
35,Louisiana
36,Wyoming
37,Virginia
38,North Carolina
39,Nevada
40,Arkansas
41,Missouri
42,Idaho
43,South Carolina
44,Kansas
45,Tennessee
46,Arizona
47,Mississippi
48,Georgia
49,Florida
50,Alabama
51,Texas